Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Market,"Nov. 06, 2015, 12:56 AM",Main Account,5.00000000 BTC,1861.25 USD,372.25 USD,4.47 USD,Buy
Market,"Nov. 06, 2015, 12:56 AM",Main Account,5.00000000 BTC,1861.25 USD,372.25 USD,4.47 USD,Buy
Market,"Nov. 06, 2015, 12:56 AM",Main Account,228.77741619 BTC,85162.39 USD,372.25 USD,204.39 USD,Buy
Market,"Nov. 06, 2015, 12:57 AM",Main Account,0.34008273 BTC,126.60 USD,372.25 USD,0.28 USD,Buy
Market,"Nov. 06, 2015, 12:57 AM",Main Account,9.45035357 BTC,3517.89 USD,372.25 USD,7.74 USD,Buy
Market,"Nov. 06, 2015, 05:23 PM",Main Account,28.10078828 BTC,11099.81 USD,395.00 USD,24.42 USD,Sell
Market,"Nov. 06, 2015, 05:25 PM",Main Account,44.12612658 BTC,17429.82 USD,395.00 USD,38.35 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,22.07301265 BTC,8718.84 USD,395.00 USD,19.19 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,0.01263291 BTC,4.99 USD,395.00 USD,0.01 USD,Sell
Market,"Nov. 06, 2015, 05:31 PM",Main Account,106.65025316 BTC,42126.85 USD,395.00 USD,84.26 USD,Sell
Market,"Nov. 06, 2015, 05:32 PM",Main Account,48.92349023 BTC,19324.78 USD,395.00 USD,38.65 USD,Sell
Market,"Nov. 10, 2015, 10:13 PM",Main Account,100.00000000 BTC,32525.00 USD,325.25 USD,65.05 USD,Buy
Withdrawal,"Nov. 10, 2015, 10:46 PM",Main Account,100.00000000 BTC,,,,
Market,"Nov. 11, 2015, 02:08 AM",Main Account,0.43626240 BTC,138.75 USD,318.05 USD,0.28 USD,Buy
