Currency,Description,Amount,Balance,Date
USD,Trading fees for 126.6741 BTC @ 334.75 on BFX (0.1%) on wallet Exchange,-42.40417119,50162.2875,2015-11-12 06:26:05
USD,Exchange 126.67414844 BTC for USD @ 334.75 on wallet Exchange,42404.17119029,50204.69167119,2015-11-12 06:26:05
USD,Trading fees for 23.3259 BTC @ 334.75 on BFX (0.1%) on wallet Exchange,-7.80832881,7800.5204809,2015-11-12 06:26:02
USD,Exchange 23.32585156 BTC for USD @ 334.75 on wallet Exchange,7808.32880971,7808.32880971,2015-11-12 06:26:02
